id	title	original_title	overview	release_date	original_language	genre_ids	adult	poster_path	backdrop_path	popularity	vote_count	vote_average	video
9495	The Crow	The Crow	Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven—watched over by a hypnotic crow—returns from the grave to exact revenge.	1994-05-11	en	14, 28, 53	FALSE	/wF2Tnf0bdYrzCKVbWh0mFwPJS6k.jpg	/8v5z3Wa6GbyjqvMxXz11PTmDCwS.jpg	18.571	2749	7.5	FALSE
856	Who Framed Roger Rabbit	Who Framed Roger Rabbit	'Toon star Roger is worried that his wife Jessica is playing pattycake with someone else, so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect.	1988-06-21	en	14, 16, 35, 80, 10751	FALSE	/lYfRc57Kx9VgLZ48iulu0HKnM15.jpg	/udtMhgdfHxWmxJYRaJluVSg80Fm.jpg	21.649	4289	7.5	FALSE
382614	The Book of Henry	The Book of Henry	Susan, a single mother of two, works as a waitress in a small town. Her son, Henry, is an 11-year-old genius who not only manages the family finances but acts as emotional support for his mother and younger brother. When Henry discovers that the girl next door has a terrible secret, he implores Susan to take matters into her own hands.	2017-06-16	en	18, 80, 53	FALSE	/suLFg4UjvM5BoDipg2Wu3gZ802T.jpg	/azlW0ClH0QbUc79DY98TPdSkE0R.jpg	46.637	1018	7.5	FALSE
16633	Somewhere in Time	Somewhere in Time	"Young writer Richard Collier is met on the opening night of his first play by an old lady who begs him to ""Come back to me"". Mystified, he tries to find out about her, and learns that she is a famous stage actress from the early 1900s. Becoming more and more obsessed with her, by self-hypnosis he manages to travel back in time—where he meets her."	1980-10-02	en	18, 14, 10749	FALSE	/hmdegiSwVYUNvEfihaE3HRM3Sos.jpg	/gozX9meRWsHT4P15Jao1WvQM2tE.jpg	7.771	372	7.5	FALSE
11549	Invasion of the Body Snatchers	Invasion of the Body Snatchers	A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.	1956-02-05	en	27, 878	FALSE	/mheETi9JZKa8VNkdXBxuKlTWuAh.jpg	/iBBrxUMwfEfF10kYclWuuaAhRnq.jpg	10.151	671	7.5	FALSE
1407	La Vie en Rose	La Môme	From the mean streets of the Belleville district of Paris to the dazzling limelight of New York's most famous concert halls, Edith Piaf's life was a constant battle to sing and survive, to live and love. Raised in her grandmother's brothel, Piaf was discovered in 1935 by nightclub owner Louis Leplee, who persuaded her to sing despite her extreme nervousness. Piaf became one of France's immortal icons, her voice one of the indelible signatures of the 20th century.	2007-02-14	fr	10402, 18	FALSE	/pmKVYXBb57iQ9cKXuYF1GCWxBip.jpg	/aVuVbxgZDbtX3vm9yJGh5yw8LxR.jpg	11.262	1240	7.5	FALSE
1360	Frida	Frida	A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.	2002-08-29	en	18, 10749	FALSE	/a4hgR6aKoohB6MHni171jbi9BkU.jpg	/s04Ds4xbJU7DzeGVyamccH4LoxF.jpg	11.917	1595	7.5	FALSE
500664	Upgrade	Upgrade	A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers Trace a cure — an artificial intelligence implant called STEM that will enhance his body. Now able to walk, Grey finds that he also has superhuman strength and agility — skills he uses to seek revenge against the thugs who destroyed his life.	2018-06-01	en	28, 53, 878	FALSE	/8fDtXi6gVw8WUMWGT9XFz7YwkuE.jpg	/qUAGip3XiaVN668WXF2iyukWgUu.jpg	35.809	2963	7.5	FALSE
11471	A Better Tomorrow	英雄本色	A reforming ex-gangster tries to reconcile with his estranged policeman brother, but the ties to his former gang are difficult to break.	1986-08-02	zh	28, 80, 18	FALSE	/pJHERfFGTCm3YlbwKNkqlLxphba.jpg	/vXys27x55jF3L3ziYXd1HfT9cFb.jpg	7.569	281	7.5	FALSE
649	Belle de Jour	Belle de jour	Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.	1967-05-24	fr	18, 10749	FALSE	/iUAFECovwPA0cVV9bo4uNGLJSGL.jpg	/9fJPLvrUV32MzpfDwXk7cOnj8hM.jpg	9.432	551	7.5	FALSE
